name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Delta Lake		way	7925973	highway	residential	-120.6165360	41.2513519	22	0.2	Delta Lake		Modoc County	California	United States of America	us	Delta Lake, Modoc County, California, United States of America	-120.6200830	41.2502289	-120.6152070	41.2525330			
Dismal Creek		way	86371436	waterway	stream	-120.1740399	41.9857269	22	0.2			Modoc County	California	United States of America	us	Dismal Creek, Modoc County, California, United States of America	-120.1746871	41.9737893	-120.1663642	41.9933949			
Dry Creek		way	86346783	multiple	ditch,stream	-120.3276740	41.4555536	22	0.2			Modoc County	California	United States of America	us	Dry Creek, Modoc County, California, United States of America	-120.5301175	41.1855755	-120.3062397	41.5211792			
Dry Creek Basin Road		way	7924950	highway	residential	-120.3698090	41.5183340	22	0.2	Dry Creek Basin Road		Modoc County	California	United States of America	us	Dry Creek Basin Road, Modoc County, California, United States of America	-120.3923720	41.5147800	-120.3455241	41.5237830			
Dutch Flat Creek		way	86344546	waterway	stream	-120.9887891	41.2753466	22	0.2			Modoc County	California	United States of America	us	Dutch Flat Creek, Modoc County, California, United States of America	-121.0517779	41.2152868	-120.9268017	41.3156752			
Eagle Creek		way	86344281	waterway	stream	-120.1413249	41.2954993	22	0.2			Modoc County	California	United States of America	us	Eagle Creek, Modoc County, California, United States of America	-120.1874357	41.2776725	-120.0595884	41.3147392			
Eagle Drive		way	7926004	highway	residential	-120.6696521	41.4069129	22	0.2	Eagle Drive		Modoc County	California	United States of America	us	Eagle Drive, Modoc County, California, United States of America	-120.6722101	41.4040400	-120.6693950	41.4106069			
East Creek		way	7931883	multiple	residential,stream	-120.2458418	41.2286497	22	0.2			Modoc County	California	United States of America	us	East Creek, Modoc County, California, United States of America	-120.3133771	41.1852381	-120.1497947	41.2485796			
East Dry Creek		way	86472157	waterway	stream	-120.3125426	41.4737683	22	0.2			Modoc County	California	United States of America	us	East Dry Creek, Modoc County, California, United States of America	-120.3237267	41.4609797	-120.3107187	41.4921015			
Eastside Canal		way	7925331	multiple	canal,ditch,residential	-120.5381777	41.3402640	22	0.2			Modoc County	California	United States of America	us	Eastside Canal, Modoc County, California, United States of America	-120.5424792	41.3006716	-120.5354603	41.3667869			
Elevenmile Creek		way	86400074	waterway	stream	-120.0398987	41.9726894	22	0.2			Modoc County	California	United States of America	us	Elevenmile Creek, Modoc County, California, United States of America	-120.0619095	41.9687735	-120.0177607	41.9766928			
Emerson Creek		way	86342095	waterway	stream	-120.1180187	41.2770458	22	0.2			Modoc County	California	United States of America	us	Emerson Creek, Modoc County, California, United States of America	-120.1523214	41.2580390	-120.0688903	41.2933454			
